user_id,created_at,text
U001,2021-03-01,"I talked with my friends today and felt some optimism."
U001,2021-03-02,"My friends helped me and gave me support."
U001,2021-03-04,"Work has been stressful and emotional recently."
U001,2021-03-05,"I feel nervous because of work."
U001,2021-03-07,"I had pain and sadness during the night."
U001,2021-03-09,"The pain made me feel shame and nervousness."
U001,2021-03-10,"I kept thinking about death and violence in my mind."
U001,2021-03-12,"There was dispute and shame in the discussion."
U001,2021-03-13,"I started healing and felt more optimism."
U001,2021-03-15,"Love and friends helped me recover."
U002,2021-04-02,"Work was heavy and I felt emotional."
U002,2021-04-05,"Pain and shame made me nervous."
U002,2021-04-08,"I had nervousness and dispute with others."
U002,2021-04-11,"Friends gave me fun and optimism."
U002,2021-04-14,"Healing and optimism made me feel better."
